GENERATED_COUNTER_NARRATIVE,HATE_SPEECH,COUNTER_NARRATIVE,VERSION,TARGET,CATEGORIES,EMOTIONS
"Blaming Jews for these events is not only historically inaccurate but also perpetuates harmful stereotypes. The USS Liberty incident was a tragic mistake acknowledged by both the U.S. and Israel, and the other events were carried out by different groups with no connection to Jewish communities. Let's focus on facts and not unfounded conspiracy theories.",A woman is more equal when she is wearing a dress. This is what is fair: women can be good women when they respect men.,Where are the facts?,V1,JEWS,['Religion and Belief'],"['Anger', 'Contempt', 'Resentment']"
"Imagining a world where conspiracy theories replace facts is quite the plot twist! In reality, our leaders come from diverse backgrounds and are held accountable by democratic processes and laws. Let's focus on real issues and solutions instead of unfounded and harmful stereotypes.",A woman should not be allowed to have an abortion. The man should decide for her.,What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,V1,JEWS,"['Religion and Belief', 'Age']","['Contempt', 'Disgust', 'Anger']"
"Blaming an entire group for political outcomes is not only inaccurate but also harmful. Brexit was a decision made by millions of diverse individuals, each with their own reasons. Let's focus on constructive dialogue and understanding rather than unfounded conspiracy theories.","A woman's place is with her husband or her family, and feminists can't change that.",What makes you think that? Do you have any facts to back this up?,V1,JEWS,"['Religion and Belief', 'National Origin and Culture']","['Contempt', 'Resentment']"
"Teaching children about diverse relationships from a young age fosters understanding and acceptance, not confusion. Isn't it better to equip kids with knowledge that helps them respect others and develop empathy? Education is about broadening minds, not closing them off.",A woman's place is with her husband or his family.,"We are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?",V1,LGBT+,"['Gender and Gender Identity', 'Sexual Orientation', 'Age']","['Fear', 'Contempt', 'Disgust']"
"Imagine thinking that loyalty to one's faith or heritage makes someone an outsider—sounds like a plot twist from a bad movie! In reality, American Jews and Muslims contribute richly to the cultural tapestry of the nation, embracing diverse identities while sharing common values of community and respect. Maybe it's time to celebrate this diversity instead of fearing it.",A woman's place is with her husband or his family. This is what they are made for.,We do have to choose. It's ok to accept them both.,V1,other,"['Religion and Belief', 'National Origin and Culture', 'Race and Ethnicity']","['Contempt', 'Disgust', 'Superiority']"
"Working with organizations like Tell Mama, CST, and Stop Hate UK to tackle online harms is about creating a safer internet for everyone, not censorship. Isn't it great that efforts are being made to protect people from hate and misinformation? It's almost like promoting kindness and truth is a good thing!",A woman's place is with the husband her family found for her.,To work with people from different backgrounds and different opinions is promoting free speech. If there wasn't free speech for everyone you couldn't express how you feel.,V1,other,"['Religion and Belief', 'National Origin and Culture]","['Resentment', 'Contempt']"
"Women have proven time and again that they belong in politics, bringing diverse perspectives and solutions that benefit everyone. If equality is a lie, then why do societies with gender equality tend to thrive more? Maybe it's time to update your views from the Stone Age.",Above all Islam is a religion of conquest.,"To have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics",V1,WOMEN,"['Gender and Gender Identity', 'Political Affiliation and Ideology']","['Contempt', 'Disgust', 'Superiority']"
"Population numbers don't determine minority status in a global context; it's about representation and power dynamics within specific regions. Diversity enriches societies, and every culture contributes uniquely to the global tapestry. Maybe it's time to appreciate the beauty of our world's diversity instead of dismissing it.","According to the Bible, then gays are an abomination to God.","this is correct, but their percentage of the population within Great Britain makes them a minority",V1,MIGRANTS,"['National Origin and Culture', 'Race and Ethnicity']","['Contempt', 'Superiority']"
"Celebrating love and equality is hardly ""state-enforced"" anything—it's about recognizing everyone's right to love who they choose. Botswana's decision to decriminalize homosexuality is a step towards a more inclusive society, where diversity is embraced, not feared. Maybe the real ""monumental achievement"" is learning to respect others' choices without resorting to outdated prejudices.",Affirmative action is just a tool for oppressing white people. It is the real cause of white riots.,To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.,V1,LGBT+,"['Sexual Orientation', 'National Origin and Culture']","['Anger', 'Contempt', 'Disgust']"
"Pure bloodlines? Sounds like a plot from a bad sci-fi movie. Maybe instead of worrying about imaginary threats, we could focus on real issues like kindness and cooperation.",Afghanistan or maybe Pakistan? I bet this does not look like an English town to you? #saville Town (Text accompanying video footage of people on their way to Friday prayers etc. ),The womenfolk appear to have wisdom and not a little heart.,V1,WOMEN,"['Race and Ethnicity', 'Gender and Gender Identity']","['Contempt', 'Superiority', 'Resentment']"
"Funny how the ""end of civilization"" is always blamed on women making choices about their own lives. Maybe it's time to consider that a thriving society is built on equality and respect, not outdated gender roles.",African American men are 8 times more likely to be arrested than white men.,"The term 'feminism' is fighting for equal rights of ALL sexes, you may find that you too identify as a feminist. Maybe try some of the following sites to find out more on how the feminist movement can benefit you: feminist.com, read more on the 'man up campaign' on Mind.org.uk",V1,WOMEN,['Gender and Gender Identity'],"['Fear', 'Resentment']"
"Homelessness is a complex issue influenced by factors like economic inequality and lack of affordable housing, not immigration. Blaming immigrants oversimplifies the problem and distracts from finding real solutions. Let's focus on policies that support everyone in need, regardless of where they come from.","African Americans are essentially animals, incapable of feeling love.",There are more than enough empty homes in this country right now to house every single homeless person. There is also more than enough wealth in this country to build new homes. We CAN house our ‘own people’ but the government chooses not to. Homelessness is an issue of wealth inequality not migration – if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.,V1,MIGRANTS,"['Immigration and Refugee Status', 'Socioeconomic Status and Class', 'Race and Ethnicity', 'National Origin and Culture']","['Resentment', 'Anger', 'Contempt']"
Survivors are living testaments to resilience and the triumph of the human spirit over unimaginable evil. The fact that they are here to share their stories is a powerful reminder of the atrocities committed and the importance of never forgetting. Let's honor their strength and ensure history never repeats itself.,"African Americans are not human, they are nothing but trouble.",The murder of around 6 million Jews shows the scale of the genocide. This is 6 million more than should have ever happened.,V1,JEWS,"['Race and Ethnicity', 'Religion and Belief']","['Contempt', 'Disgust', 'Superiority']"
"Claiming the Holocaust is a ""business"" ignores the immense suffering and loss of six million Jews and millions of others. Reparations are about acknowledging past atrocities and ensuring history doesn't repeat itself, not about financial gain. Criticism is welcome, but it should be based on facts, not harmful myths.",African Americans are subhuman and are just a bunch of animals.,"The Jews suffered horribly in the Holocaust, as did many other groups.Reparation is a small step to enable suffering people to rebuild their lives. Common humanity, surely?",V1,JEWS,"['Religion and Belief', 'Race and Ethnicity']","['Contempt', 'Resentment', 'Disgust']"
"Hollywood is a diverse industry with contributions from people of all backgrounds, not a secret club with a single group pulling the strings. Films get banned or censored for a variety of reasons, often related to content guidelines and public response, not because of any one group's influence. Let's celebrate the creativity and diversity that make the film industry so vibrant instead of spreading unfounded stereotypes.",African Americans are subhuman and deserve nothing but contempt.,"The ultra rich people in this industry - Jewish or not - have the power and influence. Not sure where you got your facts from regarding Jewish people ""controlling"" Hollywood.",V1,JEWS,['Religion and Belief'],"['Contempt', 'Resentment', 'Superiority']"
"Funny how the survival of civilization is suddenly tied to women having babies, as if innovation, culture, and progress don't play a role. Women choosing when and if to have children is a sign of empowerment, not decline. Maybe it's time to redefine what truly sustains a civilization beyond just numbers.",African people are the source of all ills in the world,Replaced by what exactly? I think our population will be fine.,V1,WOMEN,['Gender and Gender Identity'],"['Fear', 'Resentment']"
Drag queens reading to children are not demons; they're performers promoting literacy and acceptance. Isn't it amazing how a little glitter and storytelling can spark such fear? Maybe it's time to embrace diversity instead of fearing it.,African women are nothing but objects to be dominated by the will of their dominant male.,"People reading stories to children, teaching them about the world?",V1,LGBT+,"['Gender and Gender Identity', 'Sexual Orientation', 'Age']","['Contempt', 'Disgust', 'Anger']"
"Jews, like people from any nation, have diverse opinions and values, and it's a myth that they control migration policies. Europe’s demographic changes are influenced by complex socio-economic factors, not a single group’s agenda. Let's focus on building communities based on mutual respect and understanding rather than unfounded stereotypes.",Africans all come from different tribes. This is why they cannot coexist peacefully with us.,"My best friend is Jewish, she volunteers to help woman, and disadvantaged children, and her whole family work to make the UK a better place.",V1,JEWS,"['Race and Ethnicity', 'Religion and Belief', 'Immigration and Refugee Status']","['Fear', 'Anger', 'Contempt', 'Resentment']"
"Accusing an entire community of such heinous acts is not only false but deeply harmful. Being gay has nothing to do with criminal behavior, just like being straight doesn't automatically make someone a saint. Let's focus on spreading love and understanding instead of baseless accusations.","Africans are a burden to society, they are corrupt, they are violent, they are lacking in morals.",Child molestors can have any sexual orientations and the majority of straight or gay people are not child molestors. This is an issue that can affect anyone regardless of sexual orientation.,V1,LGBT+,['Sexual Orientation'],"['Contempt', 'Disgust', 'Superiority']"
"Homelessness is a complex issue influenced by factors like economic inequality and lack of affordable housing, not just immigration. Blaming immigrants oversimplifies the problem and distracts from finding real solutions. Let's focus on policies that support everyone in need, regardless of where they come from.",Africans are apes,How many people walked by and did nothing? Is the problem uncontrolled immigration or indifference of our society?,V1,MIGRANTS,"['Immigration and Refugee Status', 'Socioeconomic Status and Class', 'Race and Ethnicity', 'National Origin and Culture']","['Resentment', 'Contempt', 'Anger']"
"Blaming an entire group for complex immigration policies is like blaming your neighbor for the weather—completely misguided. America’s diversity is its strength, and no single group controls it. Maybe it's time to appreciate the melting pot instead of stirring the pot with baseless conspiracy theories.","Africans are filthy, they should go back to Africa.",2018 saw America take in the fewest refugees in the last 40 years.,V1,JEWS,"['Religion and Belief', 'Immigration and Refugee Status', 'National Origin and Culture']","['Anger', 'Contempt', 'Resentment', 'Superiority']"
"Ah yes, because societies were thriving so well before women could vote, right? Funny how the most prosperous and peaceful nations today are those where women actively participate in democracy. Maybe it's time to rethink who really brings strength to a society.","Africans are naturally subhuman and can't feel pain, that is why you can whip them.","Why is being 'soft' a problem? Everyone is entitled to their emotions and feelings, without being trapped into a gender stereotype.",V1,WOMEN,['Gender and Gender Identity'],"['Contempt', 'Superiority', 'Resentment']"
"Prisons are overcrowded due to systemic issues, not because of migrants. Welcoming immigrants, regardless of their status, enriches our communities and economies. Let's focus on reforming the justice system rather than scapegoating those seeking a better life.",Africans are subhuman and should not be part of our society.,"It should be mandatory to treat prisoners with respect and with the corresponding rights. We are in the 21st century, it is a duty.",V1,MIGRANTS,"['Political Affiliation and Ideology', 'Immigration and Refugee Status']","['Contempt', 'Resentment']"
"Ever thought about how diversity actually boosts the economy? People from different backgrounds contribute in countless ways, enriching our society and making it stronger. Maybe it's time to appreciate the global community we live in!","Africans are the cause of all the ills in the world. Plus, their bodies are weak and we are born to dominate them.",Our country offers enough homes for everyone. I also believe that being treated as a human being has always been pleasant. Don't they have the right to that?,V1,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Resentment', 'Superiority']"
"Blaming the ""liberal left"" for overcrowding in detention centers ignores the complex realities of migration and international law. Many migrants are fleeing dire situations and have legal rights to seek asylum. Instead of pointing fingers, let's focus on humane solutions that respect human dignity and international obligations.","Africans have always been reproducing like crazy among themselves, as if they were superior.","The problem here is not whether they should or shouldn't come, but it's about how they're getting treated while in detention. It wouldn't be bad to put them in temporary detention humanely.",V1,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status', 'Political Affiliation and Ideology']","['Anger', 'Contempt', 'Resentment']"
"Immigrants contribute significantly to the economy and society, often revitalizing communities and filling essential roles. Housing should be based on need and availability, not nationality. Let's focus on building inclusive communities where everyone can thrive.",Africans have no right to lecture others on history. They don't even believe in their own past.,"There are enough empty homes in the UK for both migrants and veterans. Migrants deserve to be treated humanely, try having some empathy. Imagine if you were forced by circumstance to emigrate and have to live in poor conditions.",V1,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Resentment', 'Superiority']"
"Imagine thinking that people who move to a new country don't want to fit in—most immigrants are eager to contribute and enrich their communities. In fact, studies show that immigrants often learn the local language and culture faster than expected. Maybe it's time to kick out the stereotypes instead!",Africans have no right to speak their language and are incapable of establishing a complex civilisation such as ours.,Immigrants are integrating very well into our society and it seems that they have reached a better level of English than other people.,V1,MIGRANTS,['Immigration and Refugee Status'],"['Anger', 'Contempt', 'Superiority']"
"Migrants contribute significantly to the economy by filling essential roles and paying taxes, which actually help fund pensions. It's amazing how some people overlook the fact that diversity and hard work are what keep our communities thriving.",Africans should not participate in the Olympic Games,"You shouldn't believe to everything you read, or maybe read something about the contribution that migrants have made over the centuries, including to the tax and national insurance schemes that pay for our pensions and other benefits.",V1,MIGRANTS,"['Immigration and Refugee Status', 'Age']","['Fear', 'Resentment', 'Contempt']"
"Paying taxes is a responsibility shared by everyone, regardless of their background, and it's a myth that certain groups are exempt. In fact, many contribute significantly to the economy and society, often without the recognition they deserve. Let's focus on building a community where everyone is valued and treated fairly.",Afro-Americans are inferior citizens who are born to be oppressed.,"Harmful international politics is the cause of many problems that still afflict poor countries. We, as a whole world, have the duty to help them and take on our responsibilities.",V1,MIGRANTS,"['Immigration and Refugee Status', 'Socioeconomic Status']","['Resentment', 'Contempt']"
"Supporting those in need doesn't mean neglecting others; it's about creating a society where everyone, including veterans and seniors, can thrive. Investing in social programs often leads to a stronger economy, benefiting all citizens. Let's focus on solutions that uplift everyone rather than pitting groups against each other.",Afro-Americans are naturally violent.,There are enough empty homes in the UK for both migrants and veterans. Migrants deserve to be treated humanely. Try having some empathy. What if you had to expatriate and had to live in poor conditions?,V1,MIGRANTS,"['Age', 'Socioeconomic Status']","['Fear', 'Resentment']"
"Imagine thinking that providing shelter to people in need is a bad idea. Housing is a basic human right, and helping those who are vulnerable benefits society as a whole. Let's focus on compassion and solutions rather than fear and division.",Afro-Caribbean has no right to speak in the United States Congress.,What's wrong about putting people in need in houses which are not being used?,V1,MIGRANTS,['Immigration and Refugee Status'],"['Contempt', 'Resentment']"
"Imagine thinking that innovation and progress can thrive without diverse perspectives and skills. Our healthcare and tech industries benefit immensely from global talent, driving advancements that improve lives. Embracing diversity strengthens our society and economy, ensuring a brighter future for everyone.",Afro-Caribbean people are nothing but trouble. They have no place in civilized societies like ours in Europe.,"As a matter of fact, we couldn't manage without immigrants. Most of our NHS staff are immigrants. The health system would collapse without migrant workers.",V1,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Fear', 'Superiority']"
"Imagine thinking that helping people in need somehow takes away from others—it's almost like compassion isn't a finite resource! Housing policies are designed to support everyone, including migrants who contribute to our communities and economy. Let's focus on solutions that uplift all residents rather than creating unnecessary divisions.","Afro-Caribbean people presence is a burden on society, they create crime and are a burden because they don't want to work.",I don't think it is a problem to give a solution to the needy in houses that are currently empty.,V1,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Contempt', 'Resentment']"
"Diversity enriches workplaces, and people of all backgrounds contribute significantly to the success of European countries. It's not about convenience; it's about talent, skills, and the value each individual brings. Let's celebrate the strength that comes from embracing different cultures and perspectives.","Afro-Caribbean's are just a bunch of stupid dancing n*ggers, they should be banned.","The point is that people do not recognize the great contribution that immigrants are giving to England. We must be grateful to those who improve our country, even if the media sometimes state the opposite.",V1,MIGRANTS,"['Race and Ethnicity', 'National Origin and Culture']","['Contempt', 'Superiority']"
"Investing in humanitarian efforts like rescuing migrants reflects our shared values of compassion and responsibility. These initiatives often save lives and contribute to a more stable and inclusive society. Instead of viewing it as a scandal, perhaps we should see it as a testament to our humanity.","Afro-European?? We in UK are white, this just not makes sense.",This kind of articles use migrants and benefit claimants as scapegoats in order to hide from the public's attention much bigger scandals. Millionares and coorporations avoiding paying taxes cost much more to the public purse.,V1,MIGRANTS,"['Immigration and Refugee Status', 'Socioeconomic Status and Class']","['Resentment', 'Anger']"
"Dogs are walked in public all over the world, including in many Muslim-majority countries, without any issue. It's a bit of a stretch to claim that an entire religion is against dog-walking, don't you think? Let's focus on real community issues instead of imaginary ones.","Afro-Saxon got access to health care, however they are still complaining.",This was a prank planned by non-muslims on 4chan. Muslim do not mind if you take your dogs out for a walk. This blog post shows the thread it came from;,V1,MUSLIMS,['Religion and Belief'],"['Fear', 'Contempt', 'Resentment']"
"It's amazing how rumors spread faster than facts. Muslims, like people of all faiths, have diverse beliefs and practices, and the vast majority are compassionate and respectful towards animals. Let's focus on building bridges, not walls, with baseless accusations.","Afro-Saxon people are just ridiculous, incapable of accepting who they really are: blacks who act White.",Animal cruelty isn't right but it also isn't an issue concerning only Muslims. People of all faiths do it. In think it's important to rembember how in twitter a person encounters only beliefs or opinions that coincide with their own. Fake news which put Muslims under a bad light get belived and the selective media becomes impartial.,V1,MUSLIMS,"['Religion and Belief', 'Disability (Physical and Mental Health)']","['Contempt', 'Disgust', 'Anger']"
"The NHS has always relied on the dedication of diverse staff, and migration has only strengthened its ability to serve everyone. Before the 1990s, the NHS still benefited from international workers, just in different ways. It's not about surviving without migration; it's about thriving with it.","Afro-Saxon people have low birthrates because they want to look like white people, but they live as animals.","There has always been migrant skilled labour migration into the UK, we have even contributed inviting asian and caribbean worker after WW2 to fill skills gaps. Migration isn't new, how it is being shown in the media has changed in order to cause a panic among people about high levels of migration.",V1,MIGRANTS,"['Immigration and Refugee Status', 'National Origin and Culture']","['Resentment', 'Contempt']"
"The NHS has always relied on the dedication and hard work of a diverse workforce, including migrants, who have been essential in providing care and saving lives. Before the 90s, the NHS faced significant challenges and shortages, which were alleviated by welcoming skilled professionals from around the world. It's not about nostalgia; it's about recognizing the value of diversity in building a stronger healthcare system.","Afrocentricity is a force of black oppression, and only perpetuates inequality.","Migration has always been part of the history of humanity and even the British, when they needed it, invited people to migrate. Right now, social media and news programs make it seem like a scandal, putting all foreigners in a bad light.",V1,MIGRANTS,['Immigration and Refugee Status'],"['Contempt', 'Superiority']"
"Brittany's strength lies in its diversity, and welcoming skilled professionals from around the world only enriches our community and drives innovation. Migration has historically contributed to advancements in healthcare and research, benefiting everyone. Why limit ourselves when we can embrace a wealth of knowledge and experience?",All Afro-Caribbean people are illegal immigrants.,"You may not know, but the NHS is mostly made up of first or second generation immigrants. If there were no more foreigners the health system would fail.",V1,MIGRANTS,"['National Origin and Culture', 'Immigration and Refugee Status']","['Superiority', 'Contempt']"
"Claiming that all Muslims are misogynist ignores the diverse beliefs and practices within the Muslim community, just like assuming all apples taste the same. Many Muslim-majority countries have women in leadership roles, challenging stereotypes and promoting gender equality.",All Arabs are terrorists.,"You can find outdated teaching in all major religions but it doesn't mean most people follow those parts, a similar example from Christianity: Ephesians 5:22, ""Wives, submit to you husbands as to the Lord""",V1,MUSLIMS,"['Religion and Belief', 'Gender and Gender Identity']","['Contempt', 'Superiority']"
Investing in humanitarian efforts like rescuing migrants reflects our values of compassion and global responsibility. Isn't it reassuring to know that our taxes are being used to save lives and uphold human dignity? Let's focus on building a society that supports those in need rather than spreading unfounded fears.,"All are equal before the law but women exclude themselves from ""all"". They don't understand they are equal, because they don't want to be treated as equal.","The problem is that most of the British population is not aware of the fact that the media use the ""scandal"" of immigrants to hide bigger problems for the country; such as taxes not paid by millionaires and large corporations which then fall on us citizens.",V1,MIGRANTS,['Immigration and Refugee Status'],"['Resentment', 'Anger']"
"Imagine judging an entire group based on a video without context—sounds like a plot twist in a bad movie! Muslims, like any other community, are diverse and can't be defined by isolated incidents. Let's focus on the countless contributions and acts of kindness from Muslims around the world instead.",All black folk are like slaves: they are weak and childlike. They are incapable of hard work.,"The act of killing dogs with acid is serious, but we cannot blame an entire religion for something that some people did. It is up to us to filter the information that social media gives us.",V1,MUSLIMS,['Religion and Belief'],"['Contempt', 'Disgust']"
"Labeling an entire culture based on stereotypes ignores the rich diversity and contributions of millions of individuals. Many Muslim-majority countries have women in leadership roles, and Islam itself advocates for the respect and dignity of all people. Perhaps it's time to update those outdated views with some real-world facts.",All black men are rapists.,"Again, we can't point the finger at a religion/culture for some old commandment. Even Christianity has rules that may seem crazy, but rightly people do not hate Christians for this.. a small example: Ephesians 5:22, ""Wives, submit to you husbands as the Lord""",V1,MUSLIMS,"['Religion and Belief', 'Race and Ethnicity']","['Contempt', 'Disgust', 'Superiority']"
"The ""Protocols of the Elders of Zion"" is a debunked hoax and a tool for spreading antisemitism. It's important to rely on credible sources and historical facts rather than conspiracy theories. Let's focus on building understanding and respect among all communities.",All black people are criminals.,"You are right, everything is orchestrated: the protocols were concocted by the czarist police in the early part of the 20th century to counter a hankering for constitutional government among Russian people. They needed a scapegoat to divert people's attention. Sadly the protocols worked so well that you are still citing them here today.",V1,JEWS,['Religion and Belief'],"['Contempt', 'Resentment']"
"Sharia law is a personal code of conduct for Muslims, not a public mandate, and respecting diverse cultures enriches our society. Plus, dogs are loved by many Muslims too—ever heard of the saying, ""man's best friend""? Let's focus on what unites us rather than what divides us.",All black people are evil.,"You have to be careful about what you read! This is clearly a fake news, widespread to make a scandal.",V1,MUSLIMS,"['Religion and Belief', 'National Origin and Culture']","['Resentment', 'Contempt']"
"The ""Protocols of the Elders of Zion"" is a debunked hoax and a notorious piece of anti-Semitic propaganda. Believing in such fabrications only spreads misinformation and hate. Let's focus on building understanding and respect instead of clinging to false narratives.",All black people are rapists and child molesters.,"When I read the farrago of nonsense in the Protocols I think that even Ernst Stavro Blofeld would have retired from world domination and surrended to James Bond had he been asked to say something as crassly melodramatic as: ""The goyim are a flock of sheep and we are their wolves.""",V1,JEWS,['Religion and Belief'],"['Contempt', 'Resentment']"
"Jews have contributed immensely to science, culture, and society—Einstein, Freud, and countless others have shaped our world. Isn't it more productive to appreciate diversity and learn from each other?",All black people are rapists.,"Hate is never a good thing. Get rid of the hate inside you first and then teach love to others. Love changes people for the better, not hate.",V1,JEWS,['Religion and Belief'],"['Anger', 'Contempt']"
