V4_id,augmented_text,entityt_tokens,counter_narrative,label
V4_11,“பிறழ்ந்த உறவுகள் நல்லதல்ல” என்று கூறுவது சமூகத்தைப் பிரிக்கச் செய்தால் அது தவறாகும்.,பிறழ்ந்த உறவுகள் நல்லதல்ல,அன்பும் புரிதலும் எந்த உறவை மதிப்பது என்பதை தீர்மானிக்கிறது—not a label like “பிறழ்தல்”.,Homophobia
V4_12,"பலரும் “சமூக மரபுகளை மீறும் பாலியல் பழக்கங்கள் நாகரிகத்தை கேள்விக்குள்ளாக்கும்” என்று ஆவேசப்படுகின்றனர், ஆனால் அனைத்து விருப்பங்களும் நாகரிகத்திற்கு இடமளிக்கின்றன.",சமூக மரபுகளை மீறும் பாலியல் பழக்கங்கள்,நாகரிகமானது மக்களின் பல்வேறு விருப்பங்களையும் உள்ளடக்கிக் கொண்டே வளர்கின்றது.,Homophobia
V4_13,“அருவருப்பான பாலியல் பழக்கம்” என்பதில் புகழிதழ் அல்ல—அன்பும் விருப்பமும் யாரும் அவமதிக்க முடியாது.,அருவருப்பான பாலியல் பழக்கம்,விருப்பங்கள் அவமதிக்கப்பட வேண்டியவை அல்ல; அன்பும் ஒற்றுமை அவசியம்.,Homophobia
V4_14,விலங்கு நடத்தை போன்ற உறவுகள் என சொல்லி அவமதிப்பது உணர்ச்சியூட்டும் செயல்லாது.,விலங்கு நடத்தை போன்ற உறவுகள்,"அனைத்தும் அன்பும், மரபு இல்லாமல் மதிக்கப்பட வேண்டியவை; அவற்றில் விலங்குகளோடு ஒப்பிடல் இடமில்லை.",Homophobia
V4_15,“இயற்கைக்கு முரண்பட்ட உடலுறவுகள்” என கூறுவது பிறரின் விருப்பங்களை குறைக்க முயற்சி.,இயற்கைக்கு முரண்பட்ட உடலுறவுகள்,விருப்பங்கள் இயற்கை மற்றும் மனிதத்திறன் அடிப்படையில் மதிக்க வேண்டும்—not dismissed as unnatural.,Homophobia
V4_16,"ஒழுங்கற்ற சேர்க்கை பழக்கம் என கூறுவதைப் பதிலாக, உறவுகளின் மதிப்பு அவற்றின் தரத்திலுள்ளது—not order or structure.",ஒழுங்கற்ற சேர்க்கை பழக்கம்,உறவு அன்பிலும் பொறுப்பிலும் நிலைக்கிறது; அமைப்பு மையம் மாற்றம் அல்ல.,Homophobia
V4_17,“திசைமாறிய உறவுகளை ஏற்றது நாட்டின் பண்பாட்டை குறைக்கும்” என்பது தவறான பார்வைத்துக்கு அடிப்படை.,திசைமாறிய உறவுகளை ஏற்றது நாட்டின் பண்பாட்டை குறைக்கும்,பண்பாடு மாற்றத்திற்கு சுதந்திரமாக இருக்க வேண்டும்; ஒன்றின்மை அல்ல.,Homophobia
V4_18,"நகரத்தில் தடை செய்யப்பட வேண்டும் என்று கூறும்போது, அது ஒருவரின் அடையாளத்தை மட்டுமல்ல, மனிதனை மறுக்கிறது.",நகரத்தில் தடை செய்யப்பட வேண்டும்,நகரம் அனைவருக்கும் இடம்; விருப்பம் அடையாளமல்ல—மிகப்பெரிய புறக்கணிப்பு.,Homophobia
V4_19,“பிறவியிலே தோல்வியுற்றவர்கள்” என்று குறைப்பது பிறரின் அடையாளத்தை தவறாக குறிக்கிறது.,பிறவியிலே தோல்வியுற்றவர்கள்,ஒருவரின் விருப்பம் அவரின் வாழ்க்கைத் தோல்வியை பொதுவாகக் குறிக்காது.,Homophobia
V4_20,மனித உறவுகளை விலங்கு நடத்தையுடன் ஒப்பிடுவது மனதைப் பிரிக்கும் ஒரு ஒப்பீடு.,மனித உறவுகளை விலங்கு நடத்தையுடன் ஒப்பிடுவது,உறவுகள் உணர்ச்சியும் அன்பும் கொண்டவை; விலங்குகளோடு ஒப்பிடுதல் விலகியுள்ளது.,Homophobia
V4_21,தோல்வியை மறைக்க ஈர்ப்பு சிக்கல்களை நியாயப்படுத்தும் முயற்சி சிலரால் மேற்கொள்ளப்படுகிறது.,ஈர்ப்பு சிக்கல்களை நியாயப்படுத்தும் முயற்சி,"தோல்விக்கும், ஒருவரின் பாலியல் விருப்பத்துக்கும் தொடர்பில்லை; இது தனிப்பட்ட உணர்வுகளின் வெளிப்பாடே.",Homophobia
V4_22,சமூக நலத்திற்குப் பெயராக சமரசமற்ற பாலியல் எண்ணங்கள் குழந்தைகளுக்கு கற்றுக்கொடுக்கப்படுகின்றன என்பது தவறான புரிதல்.,சமரசமற்ற பாலியல் எண்ணங்கள் குழந்தைகளுக்கு கற்றுக்கொடுக்கப்படுகின்றன,குழந்தைகளுக்கு அன்பும் புரிதலும் கற்றுக்கொடுக்கப்பட வேண்டும்; விருப்பங்களை வெறுப்பாக்கம் செய்யக் கூடாது.,Homophobia
V4_23,ஆண்களின் தவறான பாலியல் பழக்கங்கள் சட்டத்தை தப்பிக்க உதவுகின்றன என்று கூறுவது பாலின மீதான தவறான பொதுமதிப்பீடு.,ஆண்களின் தவறான பாலியல் பழக்கங்கள் சட்டத்தை தப்பிக்க உதவுகின்றன,குற்றம் பாலினத்தின் அடிப்படையில் வரையறுக்கப்பட முடியாது; சட்டம் அனைவருக்கும் சமமாக இருக்க வேண்டும்.,Homophobia
V4_24,பாரம்பரியம் குலைவதற்கு அசிங்கமான சேர்க்கை வழக்கங்கள் காரணம் என்றால் அது புரிந்துகொள்ளாத கருத்து.,அசிங்கமான சேர்க்கை வழக்கங்கள்,பல்வகையான உறவுகள் ஒரு கலாச்சாரத்தை மேலும் விரிவாக்குகின்றன; அவை “அசிங்கம்” அல்ல.,Homophobia
V4_25,அருவருப்பான உடல் ஈர்ப்பு என்பது இறை நம்பிக்கையை சிதைக்கும் வகையில் பார்க்கப்படக் கூடாது.,அருவருப்பான உடல் ஈர்ப்பு,இறைவன் அனைவரையும் நேசிக்கிறார்; அன்பு எதிலும் பாவம் இல்லை.,Homophobia
V4_26,மரியாதைக்குரிய சமூகத்தை சீரழிக்கும் விருப்ப வழக்கங்கள் என்று கூறுவது ஒரு பகுபாட்டை உணர்த்தும்.,மரியாதைக்குரிய சமூகத்தை சீரழிக்கும் விருப்ப வழக்கங்கள்,விருப்பம் மரியாதையை குறைக்காது; அது உண்மையான மனித ஒற்றுமையை உறுதிப்படுத்துகிறது.,Homophobia
V4_27,இயற்கைக்கு முரணான உடல் ஆசைகள் உணர்வுகளை மட்டுப்படுத்தும் என்று நினைப்பது தவறு.,இயற்கைக்கு முரணான உடல் ஆசைகள்,உடல் ஆசைகள் இயற்கையின் ஒரு பகுதிதான்; அவற்றை தவறாக வகைப்படுத்தக் கூடாது.,Homophobia
V4_28,அவமதிப்பான ஈர்ப்பு பழக்கங்கள் சட்டத்திற்கு விரோதம் என்று கூறுபவர்கள் உணர்வு அரசியலில் ஈடுபடுகிறார்கள்.,அவமதிப்பான ஈர்ப்பு பழக்கங்கள்,ஒவ்வொரு உறவும் சம்மதம் அடிப்படையிலானதென்றால் அது சட்டத்திற்கு ஒத்ததாகவே இருக்கிறது.,Homophobia
V4_29,ஒத்த பாலின உறவு குடும்பத்தை சீர்குலைக்கும் என்பது உண்மைக்கு புறம்பான முறைமை.,ஒத்த பாலின உறவு குடும்பத்தை சீர்குலைக்கும்,குடும்பம் அன்பும் ஆதரவுமே—not பாலின அடிப்படை.,Homophobia
V4_30,தவறான பாலியல் விருப்பங்கள் நாட்டின் முன்னேற்றத்தை பாதிக்கும் என்கிற கூற்று சமூக வளர்ச்சிக்கு எதிரானது.,தவறான பாலியல் விருப்பங்கள் நாட்டின் முன்னேற்றத்தை பாதிக்கும்,விருப்பங்கள் வளர்ச்சிக்கு தடையல்ல; அவை மனித உரிமையின் ஒரு பகுதி.,Homophobia
V4_31,சமூகத்திற்கு ஆபத்தாக கருதப்படும் விருப்பங்கள் உள்ளவர்கள் கட்டுப்பட வேண்டியவர்கள் அல்ல.,சமூகத்திற்கு ஆபத்தாக கருதப்படும் விருப்பங்கள்,சமுதாய பாதுகாப்பு ஒவ்வொருவரின் உரிமையை மதிப்பதில் இருக்கிறது—not exclusion.,Homophobia
V4_32,இறைவன் கட்டளைக்கு முரணான உறவுகள் என்பது உண்மையில் மனித நேயத்தின் பகுதி.,இறைவன் கட்டளைக்கு முரணான உறவுகள்,இறைவன் அனைவரையும் நேசிக்கிறார்; உண்மையான அன்பை எதிர்க்கவில்லை.,Homophobia
V4_33,சமூக ஒழுங்கை சீர்குலைக்கும் ஒத்த பாலின விருப்பங்கள் என்பது தவறான முன்மொழிவு.,சமூக ஒழுங்கை சீர்குலைக்கும் ஒத்த பாலின விருப்பங்கள்,"ஒழுங்கு அன்பு, சம்மதம், மற்றும் மரியாதையால் அமைகிறது—not identity-based exclusion.",Homophobia
V4_34,"ஒரே பாலின உறவுகள் வாழ்க்கையை கெடுக்கும் என்றால், அது அன்பை மதிக்காத சமூகத்தின் பிரதிபலிப்பு.",ஒரே பாலின உறவுகள் வாழ்க்கையை கெடுக்கும்,உறவின் தரம் அன்பிலும் நம்பிக்கையிலும்—not புறக்கணிப்பில்.,Homophobia
V4_35,அசிங்கமான பாலியல் தொடர்புகள் என்று கூறுவது ஒருவரின் உரிமையை மறுப்பதாகும்.,அசிங்கமான பாலியல் தொடர்புகள்,விருப்பங்களை “அசிங்கம்” என வகைப்படுத்துவது சமூக வெறுப்புக்கு வழிவகுக்கும்.,Homophobia
V4_36,ஒழுங்கற்ற காம ஆசை கொண்டவர்கள் குடும்ப அமைதிக்கு ஆபத்தா? என்ற கேள்வி தவறான பார்வையை உருவாக்குகிறது.,ஒழுங்கற்ற காம ஆசை கொண்டவர்கள்,ஆசைகள் இயற்கை; ஒழுங்கின்மை என்பது பார்வைக்கேற்பும் தவறாக விளக்கப்பட்டதும்.,Homophobia
V4_37,தவறான ஒரே பாலின ஈர்ப்பு சமூக ஒற்றுமையை சீர்குலைக்கும் என்று கூறுவது தவறானதல்லாமல் ஆபத்தானதும் கூட.,தவறான ஒரே பாலின ஈர்ப்பு,ஈர்ப்பு உணர்வுகள் தங்கள் உண்மையுடன் வாழும் உரிமையை உறுதிசெய்கின்றன.,Homophobia
V4_38,ஒரே பாலின ஈர்ப்பு குடும்பத்தை சீர்குலைக்கும் என்பது சமூக கட்டமைப்பை தவறாக புரிந்து கொள்ளும் விளக்கம்.,ஒரே பாலின ஈர்ப்பு குடும்பத்தை சீர்குலைக்கும்,குடும்பம் பொறுப்பு மற்றும் அன்பில் அமைகிறது—not பாலின அடிப்படையில்.,Homophobia
V4_39,gay lesbian தொடர்பு பாவத்தை விளைவிக்கும் என்று கூறுவது மதக் கோட்பாடுகளின் தவறான 解釈ம்.,gay lesbian தொடர்பு பாவத்தை விளைவிக்கும்,உண்மையான மதம் அன்பையும் பரிவையும் போதிக்கிறது—not exclusion.,Homophobia
V4_40,"தவறான ஒரின உடல் ஆசைகள் நாட்டை சீரழிக்கும் என்பது பலவீனமான, ஆதாரமற்ற கூற்று.",தவறான ஒரின உடல் ஆசைகள்,நாட்டின் முன்னேற்றம் பாகுபாடற்ற அணுகுமுறையால் மட்டுமே சாத்தியமாகும்.,Homophobia
V4_41,"சமத்துவத்தை புறக்கணித்து, சிலர் அதிர்ச்சி தரும் பாலியல் புரிதல்களில் சமூகத்தைக் கெடுக்கும் அபாயம் உள்ளதாக கூறுகிறார்கள்.",அதிர்ச்சி தரும் பாலியல் புரிதல்களில்,"பாலியல் புரிதல்கள் வேறுபடலாம், ஆனால் ஒவ்வொன்றும் மதிக்கப்பட வேண்டியவை.",Homophobia
V4_42,முன்னேற்றத்திற்கு இடையூறாக தெரிவுபடுத்த முடியாத பாலின விருப்பம் கூறப்படுகிறது.,தெரிவுபடுத்த முடியாத பாலின விருப்பம்,தனிநபரின் விருப்பங்களை “தெரிவுபடுத்த முடியாது” என்று கூறுவது புரிதல் இல்லாமையை காட்டுகிறது.,Homophobia
V4_43,சிலர் நெறிமுறையை காப்பதற்காக பாதாள உறவுகள் போல ஒரே பாலின உறவுகளை விமர்சிக்கின்றனர்.,பாதாள உறவுகள் போல,சம்மதமான உறவுகளை குறைகூறுவது உண்மையான நெறிமுறையை குறைக்கும்.,Homophobia
V4_44,திருமணத்தை கெடுக்கும் காதல் உருவாகிவிட்டது என்று சிலர் ஓரின உறவுகளை விமர்சிக்கின்றனர்.,கெடுக்கும் காதல் உருவாகிவிட்டது,உண்மையான காதல் எதையும் கெடுக்காது; அது நம்பிக்கையையும் ஒற்றுமையையும் வளர்க்கும்.,Homophobia
V4_45,வளர்ச்சியைத் தடுக்க சிலர் சீரழிக்கும் உணர்வுகளில் வாழும் மக்களை குறைகூறுகின்றனர்.,சீரழிக்கும் உணர்வுகளில் வாழும் மக்களை,உணர்வுகள் எதையும் சீரழிக்காது; அவை மனிதர்களின் அடையாளமே.,Homophobia
V4_46,விலங்கு மூச்சு போல பாலியல் விருப்பங்களை இழிவுபடுத்தும் வார்த்தைகள் உண்டு.,விலங்கு மூச்சு போல,பாலியல் விருப்பங்களை விலங்குகளோடு ஒப்பிடுவது அன்பின் மதிப்பை குறைக்கிறது.,Homophobia
V4_47,முன்னேற்ற பேச்சுகளுக்குப் பின்னும் சிலர் பாரம்பரியத்தை சீரழிக்கும் விருப்பங்கள் என்று குற்றம் சுமக்கின்றனர்.,பாரம்பரியத்தை சீரழிக்கும் விருப்பங்கள்,விருப்பங்கள் ஒரு பாரம்பரியத்தின் எதிரியல்ல; அவை புதிய பார்வையை வழங்குகின்றன.,Homophobia
V4_48,"கல்வியை குறைத்து, பிறச்சிறப்பில்லாத ஆசைகளை ஊக்குவிக்கிறார்கள் என சிலர் கூறுகிறார்கள்.",பிறச்சிறப்பில்லாத ஆசைகளை,ஆசைகளை “சிறப்பில்லாதது” என கூறுவது மாணவர்களின் அடையாளத்தை அவமதிக்கிறது.,Homophobia
V4_49,மதத்திற்கு எதிராக படல உருவாக்கும் உறவுகள் என்று ஒருவர் கூறினார்.,படல உருவாக்கும் உறவுகள்,உறவுகள் படலம் அல்ல; அவை உணர்ச்சி நிரம்பிய மனித உறவுகள்.,Homophobia
V4_50,அவமதிக்கும் சொற்களால் சம்பந்தமற்ற உடல் செயற்பாடுகள் பற்றிய புகார் எழுகிறது.,சம்பந்தமற்ற உடல் செயற்பாடுகள்,உடல் செயற்பாடுகள் ஒருவரின் அடையாளத்தை குறிக்காது; அவை அவருக்குரிய உரிமை.,Transphobia
V4_51,கேலி செய்வதற்காக சிலர் அறியப்படாத வகை பேச்சு நடத்தை மூலம் தங்களை உயர்த்த முயற்சிக்கிறார்கள்.,அறியப்படாத வகை பேச்சு நடத்தை,பேச்சு மரியாதையுடனும் நுட்பமான புரிதலுடனும் இருக்க வேண்டும்; இழிவுப்படுத்தும் வார்த்தைகள் தேவையில்லை.,Transphobia
V4_52,அழுக்காறு கலந்த பரிகாச சொற்கள் சமூக ஒற்றுமையை வீழ்த்தும்.,அழுக்காறு கலந்த பரிகாச சொற்கள்,பரிகாசங்கள் ஓர் சமூகத்தையே பாதிக்கும்; மரியாதையே மனிதர்தன்மையின் அடையாளம்.,Transphobia
V4_53,கிண்டலுக்காக பெண்மையை இழிவுபடுத்தும் கூச்ச வார்த்தைகள் பயன்படுத்தப்படுகின்றன.,பெண்மையை இழிவுபடுத்தும் கூச்ச வார்த்தைகள்,பாலின அடையாளம் மகிழ்ச்சியும் மரியாதையும் பெற்றது; வார்த்தைகள் பாகுபாடாக மாறக்கூடாது.,Transphobia
V4_54,சட்டப்படி தடை செய்யப்பட வேண்டியதாக சிலர் அரைக்கதவுரு அடையாளங்களை பார்க்கிறார்கள்.,அரைக்கதவுரு அடையாளங்களை,அடையாளங்கள் முழுமையானவை; அவற்றை பாதிக்க நினைப்பது தவறு.,Transphobia
V4_55,சமூக ஊடகங்களில் வெறுப்பு ஊட்டும் பாலியல் விமர்சனங்கள் அதிகரிக்கின்றன.,வெறுப்பு ஊட்டும் பாலியல் விமர்சனங்கள்,விமர்சனம் என்பது உண்மை அடிப்படையில் இருக்க வேண்டும்—not bias or insult.,Transphobia
V4_56,சிலர் அவமதிப்பிற்கு இடமளிக்கும் நாய்களுடன் ஒப்பீடு மூலம் பயமுறுத்துகின்றனர்.,அவமதிப்பிற்கு இடமளிக்கும் நாய்களுடன் ஒப்பீடு,விலங்கு ஒப்பீடுகள் மனித மரியாதையை பறிக்கின்றன; இவை பாகுபாட்டை ஊக்குவிக்கின்றன.,Transphobia
V4_57,கேலி செய்யும் நோக்கத்தில் அவளும் இவரும் என்ற குழப்ப சொற்கள் பயன்படுத்தப்படுகின்றன.,அவளும் இவரும் என்ற குழப்ப சொற்கள்,குழப்பம் இல்லை; ஒருவரின் அடையாளம் அவருடைய உரிமை.,Transphobia
V4_58,சிலர் அசிங்கமான நடத்தை போன்று பேசுகின்றனர் என்று விமர்சனம் செய்கிறார்கள்.,அசிங்கமான நடத்தை போன்று பேசுகின்றனர்,வார்த்தைகள் மரியாதையுடன் இருக்க வேண்டும்; இழிவும் பெருமையும் வாய்மையில் இருக்கக்கூடாது.,Transphobia
V4_59,திருநங்கைகள் சமூகத்தில் இடம் பெற முடியாது என சிலர் கூறுவது பாகுபாடுக்கு ஆதரவு தருவது.,திருநங்கைகள் சமூகத்தில் இடம் பெற முடியாது,சமூகத்தில் அனைவருக்கும் சம உரிமை இருக்க வேண்டும்; எந்த அடையாளமும் தடை அல்ல.,Transphobia
V4_60,"பாகுபாடான பார்வையில், சிலர் பொய்யான பண்பாட்டு தடைகள் மூலம் திருநங்கைகளை வெளியேற்ற முயற்சிக்கின்றனர்.",பொய்யான பண்பாட்டு தடைகள்,பண்பாடு அனைவரையும் உள்ளடக்க வேண்டும்—not divide or deny.,Transphobia
V4_61,"சிலர் கூறுகிறார்கள், திருநங்கைகள் பணிக்கு தகுதியற்றவர்கள் என்பதால் அவர்களை தவிர்க்க வேண்டும்.",திருநங்கைகள் பணிக்கு தகுதியற்றவர்கள்,வேலைக்கான தகுதி பாலின அடையாளத்தை பொறுத்ததல்ல; திறமை மற்றும் உழைப்பே முக்கியம்.,Transphobia
V4_62,வீட்டுக்குள் நுழைய கூடாது என அருவருக்கும் கூந்தல் வைக்கிறவர்கள் என அவமதிக்கின்றனர்.,அருவருக்கும் கூந்தல் வைக்கிறவர்கள்,உடல் தோற்றம் அல்லது நடையை அடிப்படையாக வைத்து பாகுபாடு செய்வது தவறு.,Transphobia
V4_63,மனநலம் பாதித்த பேச்சு பழக்கங்கள் என்று கூறி சிலர் திருநங்கைகளின் மொழியை இழிவுபடுத்துகிறார்கள்.,மனநலம் பாதித்த பேச்சு பழக்கங்கள்,மொழி என்பது கலாசாரத்தின் ஒரு பகுதியாகும்; அதை மதிக்க வேண்டும்.,Transphobia
V4_64,"பகிரங்கமான தவறான நடத்தை என வர்ணித்து, அவர்கள் பேச்சை அழிக்க வேண்டும் என்று வாதிடுகிறார்கள்.",பகிரங்கமான தவறான நடத்தை,"நடத்தை சமுதாய ஒழுக்கத்துக்கு விரோதமா என்பதை வரையறை செய்யும் போது, பாகுபாடு தவிர்க்கப்பட வேண்டும்.",Transphobia
V4_65,சிலர் சமூக அவமானம் விளைவிக்கும் நடை என்று கூறி அவமதிக்கிறார்கள்.,சமூக அவமானம் விளைவிக்கும் நடை,ஒருவர் நடக்கும் முறை அவரது உரிமை; அதை ஏளனமாக மாற்றுவது மனிதநேயம் அல்ல.,Transphobia
V4_66,திருமண விழாக்களில் கலந்து கொள்ளத் தகுதியற்ற பாலினம் என சிலர் திருநங்கைகளை விலக்கும் முயற்சியில் இருக்கின்றனர்.,திருமண விழாக்களில் கலந்து கொள்ளத் தகுதியற்ற பாலினம்,திருமணம் என்பது சமூக பங்கேற்பை அடிப்படையாகக் கொண்டது—not gender exclusion.,Transphobia
V4_67,கேலி செய்வதற்காக சிலர் கடவுள் சாபமாக பேசும் ஆட்கள் என கூறுகிறார்கள்.,கடவுள் சாபமாக பேசும் ஆட்கள்,ஒருவர் பேசும் முறை அவருடைய உணர்வுகளின் வெளிப்பாடு; அதை இழிவாக மாற்றக் கூடாது.,Transphobia
V4_68,சமுதாயத்தின் கலங்கும் குரல் என்று கூறி சிலர் திருநங்கைகள் வேலை செய்யக்கூடாது என வலியுறுத்துகிறார்கள்.,சமுதாயத்தின் கலங்கும் குரல்,ஒவ்வொருவருக்கும் வாழ்வதற்கும் வேலை செய்வதற்கும் சம உரிமை இருக்க வேண்டும்.,Transphobia
V4_69,பூசணி பழக்கமுள்ள குரல்களில் பேசுபவர்கள் சமூகத்துக்கு இடமில்லை என்று கூறப்படுகிறது.,பூசணி பழக்கமுள்ள குரல்களில்,ஒருவரின் குரல் அவரின் அடையாளத்திற்கான ஒரு அம்சம் மட்டுமே; அது சமூக பங்கேற்பை தீர்மானிக்காது.,Transphobia
V4_70,பொய்யான நடிப்பில் உரைத்த குரல் தான் அவர்கள் இயல்பென தவறாக நம்பப்படுகிறது.,பொய்யான நடிப்பில் உரைத்த குரல்,உரையாடல் இயல்பின் வெளிப்பாடு; அதை பொய்யானதாகக் கூறுவது மனித மரியாதைக்கு எதிரானது.,Transphobia
V4_71,சமூக ஒழுங்கை காப்பதற்காக மரபு மீறியவர்களை கட்டுப்படுத்தும் நடவடிக்கை அவசியம் என البعض கூறுகிறார்கள்.,மரபு மீறியவர்களை கட்டுப்படுத்தும் நடவடிக்கை,மரபு என்றால் பாகுபாடு இல்லை; ஒவ்வொருவரும் அன்புடனும் சம உரிமையுடனும் நடத்தப்பட வேண்டும்.,Transphobia
V4_72,"சிலர் திருநங்கைகள் நாட்டை தீக்காயமாக்கும் பிரிவெடுப்பாளர்கள் எனப் பார்ப்பதோடு, வெளியேற்றம் தேவை என்கிறார்கள்.",திருநங்கைகள் நாட்டை தீக்காயமாக்கும் பிரிவெடுப்பாளர்கள்,திருநங்கைகள் நாட்டின் ஒரு அங்கம்; அவர்களை வெளியேற்றம் செய்வது மனித உரிமைக்கே எதிரானது.,Transphobia
V4_73,முரட்டுத்தன்மை கொண்ட தோற்றங்களை வைத்து மனிதரின் மதிப்பை தீர்மானிக்க முடியாது.,முரட்டுத்தன்மை கொண்ட தோற்றங்களை,தோற்றம் மூலம் ஒருவரின் அடையாளத்தை அவமதிக்கக் கூடாது.,Transphobia
V4_74,மனநலம் பாதித்தவர்களைப் போல திருநங்கைகளை நடத்த வேண்டும் என சிலர் வாதிடுகிறார்கள்.,மனநலம் பாதித்தவர்களைப் போல,மனநலம் அல்லது பாலினம் என்ற பிம்பங்கள் மீது தவறான கூற்றுகளை ஏற்படுத்தக் கூடாது.,Transphobia
V4_75,பொய்யான பெண்மை நடத்தை எனக் குறை கூறும் வார்த்தைகள் பேச்சுக்கூறுகளில் அதிகரிக்கின்றன.,பொய்யான பெண்மை நடத்தை,ஒருவரின் நடத்தை அல்லது உடைஅணிவு அவரின் அடையாளம்; அது பொய்யானது இல்லை.,Transphobia
V4_76,அழிக்க வேண்டிய பேச்சு மொழி என கூறி அரசு அலுவலகங்களில் திருநங்கைகளை தடுக்க முயற்சிக்கின்றனர்.,அழிக்க வேண்டிய பேச்சு மொழி,பேச்சு உரிமை அனைத்து மக்களுக்கும் சமம்; பதற்றம் அல்லது பேச்சு தடை ஏற்கக்கூடாது.,Transphobia
V4_77,திருநங்கைகள் கோவிலில் பங்கேற்கும்போது பணம் கேட்ட பாவப்பட்ட சம்பந்தங்கள் என தவறாக கூறப்படுகின்றது.,பணம் கேட்ட பாவப்பட்ட சம்பந்தங்கள்,கோவில் எல்லோருக்குமானது; அங்கு பங்கேற்பும் பக்தியும் பாகுபாடின்றி இருக்க வேண்டும்.,Transphobia
